Year,Battle Name,Battle Description,Battle Place,
893,Battle of Buttington,"An army of Mercians, West Saxons and Welsh led by Æthelred, Lord of the Mercians defeats a Viking army",Buttington,
896,Battle of Bulgarophygon,During the summer the Bulgars led by Prince Simeon I defeat a Byzantine army decisively.,Bulgarophygon,
896,Siege of Dorostolon,The Bulgars under their princes Boris-Michael and his son Symeon finally break a Magyar siege.,Dorostolon,
902,Siege of Taormina,"The former Aghlabid emir, Ibrahim II, captures the fortress of Taormina from the Byzantine Empire.",Taormina,
903,Battle of Hama,29 November – The Abbasid army under Muhammad ibn Sulayman al-Katib deals a crushing defeat on the Qarmatians under the Sahib al-Shama,Hama,
904,Sack of Thessalonica,Saracens under Leo of Tripoli sack the Byzantine Empire's second-largest city,Thessalonica,
904,Battle of Marash,"Major Byzantine victory, under Andronikos Doukas, against the Abbasids",Marash,
907,Battle of Pozsony,Hungarians completely defeat the combined European forces and expand their military control to river Enns.,Pozsony,
910,Battle of Tettenhall,Between Edward the Elder and the Yorkshire Danes. The Danish were defeated.,Tettenhall,
911,,"Failed Byzantine attempt under Himerios to conquer the Emirate of Crete. Upon its return, the Byzantine fleet is destroyed off Chios by Leo of Tripoli in April/May 912.",#VALUE!,
915,First Battle of Corbridge,,Corbridge,
915,Battle of Garigliano,Christian League defeats the Saracen bands in southern Lazio,Garigliano,
917,Battle of Acheloos,20 August – A large-scale Byzantine invasion against Bulgaria is decisively defeated by Tzar Simeon I of Bulgaria.,Acheloos,
918,Second Battle of Corbridge,,Corbridge,
923,Battle of Soissons,"15 June – Rollo of Normandy killed by Charles III, but Charles is defeated and imprisoned by Rudolf duke of Burgundy who succeeded Robert",Soissons,
926,Battle of the Bosnian Highlands,"Simeon I of Bulgaria sent an army under Alogobotur against the Byzantine ally Croatia, but this army was defeated by King Tomislav of Croatia. Fearing a Bulgarian retribution, Tomislav accepted to abandon his union with Byzantium and make peace on the basis of the status quo, negotiated by the papal legate Madalbert.",the Bosnian Highlands,
933,Battle of Riade,Fowler Henry Holy Roman Emperor defeats Magyars.,Riade,
937,Battle of Brunanburh,Athelstan of England defeats a combined Norse-Celtic force,Brunanburh,
938,Battle of B?ch ??ng (938),Ngô Quy?n defeats Southern Han,B?ch ??ng ,
939,Battle of Simancas,Caliph Abd-ar-Rahman III of Córdoba is defeated by a combined Hispanic-Christian force.,Simancas,
946,Battle of Baghdad,,Baghdad,
953,Battle of Marash,"The Hamdanid Emir of Aleppo, Sayf al-Dawla, scores a major victory over the Byzantines under Bardas Phokas the Elder.",Marash,
955,Battle of Lechfeld,"10 August – Otto I, Holy Roman Emperor defeats Magyars, ending their invasion of the West.",Lechfeld,
956,,September/October – A Byzantine fleet under Basil Hexamilites deals a crushing defeat on the fleet of Tarsus.,#VALUE!,
958,Battle of Raban,"The Byzantines under John Tzimiskes defeat the Hamdanid Emir of Aleppo, Sayf al-Dawla.",Raban,
960,Battle of Andrassos,"The Byzantines under Leo Phokas the Younger score a crushing victory over the Hamdanid Emir of Aleppo, Sayf al-Dawla",Andrassos,
962,Battle of Bauds,Indulf of Scotland is killed in battle with Danish pirates.,Bauds,
962,Siege of Taormina,The Kalbids capture the fortress of Taormina from the Byzantine Empire on behalf of the Fatimid Caliphate.,Taormina,
965,Battle of the Straits,The Fatimid fleet deals a crushing defeat on the Byzantine fleet under Niketas Abalantes,the Straits,
969,,"Sviatoslav I of Kiev captures Preslav, the Bulgarian capital.",#VALUE!,
970,Battle of Arcadiopolis,Bardas Skleros defeats a Russo-Bulgarian army.,Arcadiopolis,
971,Battle of Dorostolon,Byzantine emperor John Tzimiskes defeats the Rus'.,Dorostolon,
971,Battle of Alexandretta,"Byzantines defeat a Fatimid army near Alexandretta, forcing them to lift their siege of Antioch.",Alexandretta,
972,Battle of Cedynia,Mieszko I of Poland defeated Hodon of Germany.,Cedynia,
978,Battle of Pankaleia,The rebel Byzantine general Bardas Skleros defeated the loyalist commander Bardas Phokas the Younger.,Pankaleia,
981,Battle of B?ch ??ng (981),Former Le defeated the Song dynasty.,B?ch ??ng,
982,Battle of Crotone,"13 July or 14 – Emperor Otto II, Holy Roman Emperor is defeated by a Kalbid army .",Crotone,
991,Battle of Maldon,10 August – Olaf Tryggvason's Vikings defeat English of Ealdorman Brihtnoth of Essex.,Maldon,
994,Battle of the Orontes,15 September – Fatimid victory over the Byzantines under Michael Bourtzes.,the Orontes,
998,Battle of Apamea,19 July – Fatimids defeat Byzantine army under Damian Dalassenos.,Apamea,
999,Battle of Glenn Mama,Brian Boru and Máel Sechnaill defeat the Leinstermen and Vikings of Dublin.,Glenn Mama,
1000,Battle of Swold,Semi-legendary battle. Norway is defeated by an alliance of the other Scandinavians.,Swold,
1014,Battle of Clontarf,"23 April – Irish King Brian Boru ends Norse rule of Ireland, but is killed in battle.",Clontarf,
1014,Battle of Kleidion,"Byzantine Emperor Basil II conquers the Bulgarians, ending Bulgarian independence for 171 years.",Kleidion,
1016,Battle of Nesjar,Future Norwegian king Saint Olav Haraldsson laid foundation for his reign in this victory.,Nesjar,
1016,Battle of Ashingdon,18 October – Danes led by Canute the Great defeat an English army led by King Edmund II ('Ironside').,Ashingdon,
1018,Battle of Carham,"Máel Coluim II, King of Scots, defeats the Northumbrians.",Carham,
1018,Battle of Vlaardingen,"Count Dirk III of West Frisia defeats an army sent by Henry II, Holy Roman Emperor at Vlaardingen.",Vlaardingen,
1018,Battle of Heunghwajin,Korean defeat the Khitan.,Heunghwajin,
1018,Battle of Kwiju,"The major battle during the Third Goryeo-Khitan War, decisive victory for the Goryeo.",Kwiju,
1021,Battle of Shirimni,11 September – Byzantine forces under Basil II defeats Georgian forces under George I.,Shirimni,
1022,Battle of Svindax,"Byzantine Emperor Basil II defeats Giorgi I of Georgia, forcing him to accept a treaty.",Svindax,
1024,Battle of Lemnos,Byzantine forces annihilate a Rus' raid.,Lemnos,
1030,Battle of Stiklestad,"Norwegian King Saint Olaf Haraldsson is killed in battle, but Christianization of Norway is ensured.",Stiklestad,
1030,Battle of Azaz,Mirdasids defeat a large Byzantine army led by Emperor Romanos III in person,Azaz,
1040,Battle of Dandanaqan,Seljuk Turks defeat the Ghaznavid Empire and begin occupying Khorasan.,Dandanaqan,
1042,Battle of Sasireti,Byzantine Empire intervenes in a civil war in Georgia in favor of the rebels. Royal army of Georgia crushed.,Sasireti,
1047,Battle of Val-ès-Dunes,"William, Duke of Normandy and King Henry I of France against the forces of several rebel Norman barons.",Val-ès-Dunes,
1053,Battle of Civitate,Robert Guiscard's Normans destroy the army of Pope Leo IX.,Civitate,
1053,Siege of Medina,"Failed Byzantine attempt to retake Medina, Malta.",Medina,
1054,Battle of Dunsinane,Malcolm defeats MacBeth.,Dunsinane,
1057,Battle of Lumphanan,MacBeth is killed in battle against Malcolm's forces.,Lumphanan,
1063,Battle of Graus,"Castile and Zaragoza defeat Aragon, killing Ramiro I.",Graus,
1066,Battle of Fulford,20 September – Norwegian Vikings led by Harald III of Norway defeat the northern earls Edwin and Morcar,Fulford,
1066,Battle of Stamford Bridge,"25 September – Harold Godwinson of England defeats his brother Tostig Godwinson and Harald III of Norway, both are killed.",Stamford Bridge,
1066,Battle of Hastings,"14 October – Normans under William the Conqueror defeat the Anglo-Saxon army under Harold Godwinson, who is killed.",Hastings,
1068,Siege of Bari,"Byzantines lose Bari, their last possession in Italy, to the Norman Robert Guiscard.",Bari,
1071,,,#VALUE!,
1071,Battle of Manzikert,Byzantine emperor Romanos IV Diogenes is defeated and captured by the Seljuk Turks.,Manzikert,
1075,Battle of Langensalza,King Henry IV of Germany defeated rebel Saxons decisively.,Langensalza,
1078,Battle of Kalavryai,Imperial forces under Alexios Komnenos defeat the rebels under Nikephoros Bryennios the Elder.,Kalavryai,
1078,Siege of Taormina,The Italo-Normans capture the fortress of Taormina from the Emirate of Sicily.,Taormina,
1079,Battle of Cabra,El Cid defeats the combined forces of the Emir of Granada and his Castilian allies.,Cabra,
1081,Battle of Dyrrhachium,Robert Guiscard of Apulia and Calabria defeats the Byzantines under Emperor Alexius I Comnenus.,Dyrrhachium,
1086,Battle of az-Zallaqah,23 October – Almoravides defeat Castile and Aragon forces decisively.,az-Zallaqah,
1091,Battle of Levounion,29 April – Byzantines under Alexios I Komnenos defeat the Pechenegs.,Levounion,
1093,Battle of Alnwick,Malcolm III of Scotland is killed by English Knights under Robert de Mowbray.,Alnwick,
1093,Battle of the Stugna River,The Kypchaks defeat Chernihiv and Kiev.,the Stugna River,
1096,Battle of Civetot,"21 October - Seljuk Turks, led by Kilij Arslan I, defeat the People's Crusade",Civetot,
1097,Siege of Nicaea,"14 May – 19 June, Byzantines and Crusaders defeat forces of the Sultanate of Rum at Nicaea.",Nicaea,
1097,Battle of Dorylaeum,1 July – Crusaders defeat the Seljuk forces in Anatolia.,Dorylaeum,
1097,Battle of Gvozd Mountain,"Hungarian forces under King Coloman defeat the Croatians, killing their last king, Petar Sva?i?.",Gvozd Mountain,
1098,Siege of Antioch,3 June – Crusaders capture Antioch after more than eight months of siege.,Antioch,
1099,Siege of Jerusalem,15 July – Crusaders capture Jerusalem from the Fatimids after a month of siege and bloody street-fighting.,Jerusalem,
1099,Battle of Ascalon,"12 August – Crusaders defeat the Fatimids at Ascalon, but the city is not taken.",Ascalon,
1101,Battle of Ramla,Jerusalem forces under Baldwin I defeat a superior Fatimid army.,Ramla,
1101,Battle of Mersivan,August – Seljuk Turks defeat Crusaders.,Mersivan,
1101,Battle of Heraclea (1101),September – Seljuks defeat Crusaders.,Heraclea,
1102,Battle of Ramla,A Fatimid army defeats 500 Crusader Knights.,Ramla,
1104,Battle of Harran,Baldwin II of Jerusalem is captured by the Seljuk Turks.,Harran,
1105,Battle of Artah,Crusaders of Antioch defeat the Seljuk Turks of Aleppo.,Artah,
1105,Battle of Ramla,Crusaders under Baldwin I defeat the Fatimids,Ramla,
1106,Battle of Tinchebray,"28 September – Henry I of England defeats his brother Robert, Duke of Normandy, in northwestern France.",Tinchebray,
1108,Battle of Uclés,"29 May – Almoravids victory over Castile and León; Sancho, son and heir of Alfonso VI of León and Castile, is slain.",Uclés,
1109,Battle of Naklo,Boleslaus III of Poland defeats the Pomeranians.,Naklo,
1109,Battle of Hundsfeld,Boleslaus III of Poland defeats King Henry V of the Holy Roman Empire.,Hundsfeld,
1109,Battle of G?ogów,14 August – Boleslaus III successfully holds the town of G?ogów against Henry V and Svatopluk of Bohemia.,G?ogów,
1111,Battle of Shaizar,"Baldwin I of Jerusalem and Mawdud ibn Altuntash fight, resulting in a tactical draw, and withdrawal of the Crusaders",Shaizar,
1113,Battle of Al-Sannabra,Baldwin I of Jerusalem was defeated by Mawdud ibn Altuntash of Mosul.,Al-Sannabra,
1115,Battle of Sarmin,Crusaders from Antioch led by Roger of Salerno defeat the Seljuk Turks.,Sarmin,
1115,Battle of Welfesholz,Saxons under Lothair I of Supplinburg defeat the Holy Roman army.,Welfesholz,
1119,Battle of Ager Sanguinis,"28 June – Turks under Ilghazi defeat Antioch troops, killing Roger of Salerno.",Ager Sanguinis,
1121,Battle of Didgori,12 August – Georgian forces under David IV defeat Seljuk Turks.,Didgori,
1122,Battle of Beroia,Byzantines under John II Komnenos defeat Pechenegs.,Beroia,
1125,Battle of Azaz,"11 June – Crusaders under Baldwin II of Jerusalem defeat Seljuks, Mosul and Aleppo forces.",Azaz,
1126,Battle of Marj al-Saffar (1126),Crusaders under Baldwin II of Jerusalem defeat the Burids of Damascus.,Marj al-Saffar ,
1132,Battle of Nocera,"Roger II of Sicily is defeated in his first major engagement by Ranulf II, Count of Alife.",Nocera,
1136,Battle of Crug Mawr,Welsh under Owain Gwynedd defeat the South Wales Normans.,Crug Mawr,
1137,Battle of Rignano,"Roger II of Sicily is defeated in a major engagement by Ranulf, Duke of Apulia, again.",Rignano,
1138,Battle of the Standard,22 August – English forces under William of Aumale defeat an army of David I of Scotland.,the Standard,
1140,Siege of Weinsberg,Conrad III of Germany besieges the Welf city of Weinsberg unsuccessfully.,Weinsberg,
1144,Siege of Edessa,28 November – 24 December – Zengi captures Edessa from the Crusaders.,Edessa,
1147,Siege of Lisbon,Crusaders under Afonso I of Portugal capture Lisbon from the Almoravids.,Lisbon,
1147,Battle of Constantinople,September – Byzantines defeat German crusaders and force them to cross to Asia Minor.,Constantinople,
1147,Battle of Dorylaeum,25 October – Seljuk Turks defeat German crusaders under Conrad III.,Dorylaeum,
1148,Siege of Damascus,"French and German Crusaders, in alliance with Jerusalem, fail to conquer Damascus from the Saracens, ending the Second Crusade.",Damascus,
1149,Battle of Inab,29 June – Raymond of Antioch killed in battle against Nur ad-Din Zangi and Unur of Damascus.,Inab,
1151,Battle of Móin Mhór,Kingdom of Leinster defeats Kingdom of Thomond.,Móin Mhór,
1153,Battle of Ascalon,Jerusalem captures Ascalon from the Fatimid Egyptians.,Ascalon,
1157,Battle of Coed Eulo,"Henry II's invasion of Wales suffers a severe check near Basingwerk by Owain Gwynedd, though the situation is recovered, and a peace agreement later signed that cedes much of modern-day Flintshire to England.",Coed Eulo,
1157,Battle of Grathe Heath,Valdemar I of Denmark defeats and kills Sweyn III.,Grathe Heath,
1164,Battle of Harim,12 August – A Crusader alliance is defeated by the Zengids.,Harim,
1167,Battle of Sirmium,Byzantine Empire defeats Hungary.,Sirmium,
1167,Battle of al-Babein,"Crusaders under Amalric I battle the Zengids of Syria, ending in a tactical draw.",al-Babein,
1167,Battle of Monte,29 May – Imperialists under Christian of Mainz and Rainald of Dassel defeat large Roman army,Monte,
1174,Battle of Alnwick,William I of Scotland is defeated and captured by a small English force.,Alnwick,
1176,Battle of Legnano,29 May – Lombard League defeats and wounds the Holy Roman Emperor Frederick Barbarossa.,Legnano,
1176,Battle of Myriokephalon,Seljuk Turks defeat army of Emperor Manuel I Comnenus of the Byzantine Empire in Phrygia.,Myriokephalon,
1177,Battle of Montgisard,25 November – Ayyubids under Saladin are defeated by the Kingdom of Jerusalem and the Knights Templar.,Montgisard,
1179,Battle of Jacob's Ford,Saladin defeats the Kingdom of Jerusalem.,Jacob's Ford,
1179,Siege of Taillebourg,A young Richard the Lionheart takes a rebel castle in Aquitaine which was previously considered impregnable.,Taillebourg,
1180,First Battle of Uji,"Taira clan defeats Minamoto clan, killing Prince Mochihito.",Uji,
1180,Siege of Nara,The Taira clan destroys the city during the Genpei War.,Nara,
1180,Battle of Ishibashiyama,14 September – Taira victory near Mount Fuji.,Ishibashiyama,
1180,Battle of Fujigawa,9 November – Taira forces flee after a fake surprise attack by the Minamoto and Takeda clans.,Fujigawa,
1181,Battle of Sunomatagawa,"25 April – Minamoto sneak attack thwarted, Taira are victorious.",Sunomatagawa,
1181,Battle of Yahagigawa,"Minamoto clan forced to withdraw, but Taira clan unable to pursue.",Yahagigawa,
1182,Battle of Belvoir Castle,inconclusive battle between Baldwin IV of Jerusalem and an Ayyubid army of Saladin from Egypt,Belvoir Castle,
1183,Battle of Al-Fule,inconclusive battle between Guy of Lusignan and the Ayyubid army of Saladin from Egypt,Al-Fule,
1183,Siege of Hiuchi,"Taira clan captures the fortress, but Minamoto defenders escape.",Hiuchi,
1183,Battle of Kurikara,"2 June – Decisive Minamoto victory, turning the tides.",Kurikara,
1183,Battle of Shinohara,Minamoto victory. Several single combats prior to main battle.,Shinohara,
1183,Siege of Kerak (November),Saladin lays siege to Raynald of Châtillon's stronghold during marriage of Humphrey IV of Toron and Isabella of Jerusalem. King Baldwin IV's arrival forces Saladin to withdraw.,Kerak,
1183,Battle of Mizushima,17 November – Taira naval victory over the Minamoto.,Mizushima,
1183,Siege of Fukury?ji,Minamoto forces capture the fortress.,Fukury?ji,
1183,Battle of Muroyama,The Taira clan's five-wave assault defeats Minamoto forces.,Muroyama,
1184,Siege of H?j?jidono,Minamoto no Yoshinaka's faction captures Emperor Go-Shirakawa.,H?j?jidono,
1184,Second Battle of Uji,"19 February – Minamoto no Yoshinaka defeated by the rest of the Minamoto, forced away from the capital at Kyoto.",Uji,
1184,Battle of Awazu,21 February – Minamoto no Yoshinaka killed.,Awazu,
1184,Battle of Ichi-no-Tani,"18 March – Minamoto victory, Taira no Tadanori killed.",Ichi-no-Tani,
1184,Battle of Kojima,Minamoto victory over the Taira.,Kojima,
1185,Battle of Demetritzes,Alexios Branas decisively defeats Norman invasion army.,Demetritzes,
1185,Battle of Yashima,Taira forces confounded and defeated.,Yashima,
1185,Battle of Dan-no-ura,Decisive victory for the Minamoto. Last battle of Genpei War.,Dan-no-ura,
1187,Battle of Cresson,1 May – Al-Afdal (Saladin's eldest son) defeats the small crusader army at Nazareth.,Cresson,
1187,Battle of Hattin,4 July – Saladin destroys the Crusader army and takes several commanders prisoner.,Hattin,
1187,Siege of Jerusalem,20 September – 2 October – Saladin captures Jerusalem after 2 weeks of siege.,Jerusalem,
1189,Battle of Acre,Crusaders defeat Saladin's Ayyubid army outside Acre.,Acre,
1190,Battle of Iconium,18 May – Frederick Barbarossa's forces defeat Seljuk Turks.,Iconium,
1191,Battle of Arsuf,7 September – Richard Lionheart's forces repel Saladin's attack.,Arsuf,
1192,Battle of Jaffa,5 August – Richard I's Crusader army defeats Saladin.,Jaffa,
1194,Battle of Aberconwy,Llywelyn ap Iorwerth defeats his brother and assumes control of Gwynedd,Aberconwy,
1195,Battle of Alarcos,18 July – Almohad victory over Alfonso VIII of Castile.,Alarcos,
1198,Battle of Gisors,Richard I defeats Philip II of France.,Gisors,
1202,Battle of Basian,Georgians under David Soslan decisively defeat Seljuk Turks.,Basian,
1204,Fourth Crusade,The Franks capture Constantinople.,Fourth Crusade,
1205,Battle of Adrianople,The Bulgarian army defeats the Latin Empire and captures Baldwin I of Constantinople.,Adrianople,
1208,Battle of Lena,Swedish armed peasants defeat Danish army.,Lena,
1210,Battle of Ümera,"Estonian forces defeat the Livonian Order, during the Livonian crusade.",Ümera,
1211,Battle of the Rhyndacus,15 October – the Latin emperor Henry of Flanders defeats the Nicaean emperor Theodore I Lascaris.,the Rhyndacus,
1211,Battle of Viljandi,"Estonian victory over the Livonian Order, during the Livonian crusade.",Viljandi,
1212,Battle of Las Navas de Tolosa,"16 July – Almohads expelled from most of Iberia by a joint army of the Christian kingdoms of Castile, León, Portugal, Navarre and Aragon.",Las Navas de Tolosa,
1213,Battle of Damme,"30 May-31 – English under William Longsword, Earl of Salisbury, sink most of fleet of France's King Philip II in the harbor of Damme.",Damme,
1213,Battle of Muret,"12 September – French crusaders under Simon de Montfort defeat forces of Aragon and Catalonia, killing King Peter II of Aragon. End of Aragonese intervention in Languedoc.",Muret,
1214,Battle of Bouvines,"27 July – France under king Philip Augustus defeats England (under John Lackland) and Otto IV of Germany, conquering Flanders and Angevin territories in France, and bringing about the final decision in the German Staufen–Welf rivalry in favor of Frederick II",Bouvines,
1215,Battle of Zhongdu,Genghis Khan and the Mongols defeat the Jin dynasty and capture Zhongdu (now Beijing).,Zhongdu,
1216,Battle of Lipitsa,"Konstantin of Rostov defeats his younger brothers, Yuri and Yaroslav.",Lipitsa,
1217,Battle of South Foreland,Fleet of English Hubert and Burgh defeat French fleet of Eustace the Monk off Dover.,South Foreland,
1217,Battle of Otepää,"Estonian and Russian victory over the Livonian Order, during the Livonian crusade.",Otepää,
1217,Battle of St. Matthew's Day,"The Livonian Order and its allies defeat Estonians, during the Livonian crusade.",St. Matthew's Day,
1218,Siege of Damietta,The Crusaders successfully besiege and capture the city from the Ayyubids.,Damietta,
1219,Battle of Lyndanisse,"Danish forces under Valdemar II defeat the Estonians, during the Livonian crusade.",Lyndanisse,
1220,Battle of Lihula,"Invading Swedish forces are defeated by Estonians, during the Livonian Crusade.",Lihula,
1222,Siege of Trebizond,"Seljuq Turks attempt to conquer Trebizond, are defeated by Emperor Andronikos I Gidos.",Trebizond,
1223,Battle of Kalka River,"31 May – The Mongols under Jebe and Subutai defeat an alliance of Kiev, Galicia-Volhynia, Chernigov and the Cumans decisively.",Kalka River,
1224,Battle of Poimanenon,The Nicaean emperor John III Vatatzes defeats a joint army of the Latin Empire and of rebels under the brothers Isaac and Alexios Laskaris,Poimanenon,
1230,Battle of Klokotnitsa,9 March – Victory for the Second Bulgarian Empire over the Despotate of Epirus.,Klokotnitsa,
1230,Siege of Dun Beal Gallimhe,Week-long inconclusive battle between the Irish and Normans.,Dun Beal Gallimhe,
1230,Battle of Yass?çemen,August 10–12 – Seljuk Turks defeat forces of Jalal ad-Din of Khwarazm.,Yass?çemen,
1231,Battle of Jerez,Castile defeats Moorish forces of Ibn Hud.,Jerez,
1236,Battle of Saule,"22 September – Samogitians and Semigalians defeat Livonian Brothers of the Sword, whose remnants are incorporated into the Teutonic Knights.",Saule,
1237,Battle of Cortenuova,Emperor Frederick II defeats the Lombard League.,Cortenuova,
1238,Battle of the Sit River,"4 March – Mongols led by Batu Khan defeat Vladimir-Suzdal forces, Yuri II killed.",the Sit River,
1238,Siege of Brescia,Long unsuccessful siege during the war between Frederick II of Sicily and the Guelphs of Northern Italy.,Brescia,
1239,Siege of Faenza,Long successful siege during the war between Frederick II of Sicily and the Guelphs of Northern Italy.,Faenza,
1240,Battle of the Neva,15 June – Alexander Nevsky of the Novgorod Republic stops the Swedish invasion of Russia.,the Neva,
1241,Battle of Liegnitz,"9 April – Mongols of the Golden Horde defeat feudal nobility including Knights Templar in Silesia, killing King Henry II the Pious.",Liegnitz,
1241,Battle of Mohi,"11 April – Mongol forces under Batu Khan and Subutai defeat the Hungarian army under king Béla IV of Hungary, but the victory was not complete, so the Mongols leave Hungary utterly destroyed.",Mohi,
1242,Battle on Lake Peipus,"5 April – Alexander Nevsky defeats the alliance of Teutonic Knights, the Livonian Order, Denmark and Dorpat.",Lake Peipus,
1242,Battle of Taillebourg,Louis IX of France defeats Henry III of England.,Taillebourg,
1243,Siege of Viterbo,Frederick II of Sicily unsuccessfully besieges Viterbo.,Viterbo,
1243,Battle of Köseda?,"26 June – Mogols defeat Seljuk Turks, making Anatolia and Trebizond vassal states of the Mongol Empire.",Köseda?,
1244,Battle of La Forbie,17 October – Crusaders defeated by Ayyubids.,La Forbie,
1246,Battle of Haugsnes,19 April – The largest and bloodiest battle in Icelandic history where the forces of Thordur Kakali defeat Gissur Thorvaldsson,Haugsnes,
1247,Sack of Dun Gallimhe,Normans defeated by the Irish.,Dun Gallimhe,
1248,Battle of Parma,18 February – Frederick II of Sicily is defeated by the Lombard League.,Parma,
1249,Battle of Fossalta,26 May – King Enzio of Sardinia is captured by Bolognese in a clash between Guelphs and Ghibellines,Fossalta,
1250,,The Seventh Crusade is defeated at Al-Mansurah.,#VALUE!,
1250,Battle of Fariskur,6 April – Ayyubid Egyptians defeat Seventh Crusade forces of Louis IX of France. taking him prisoner.,Fariskur,
1250,Battle of Cingoli,Papal and Guelph army is crushed by an Imperial and Italian army,Cingoli,
1254,Battle of Adrianople,Nicaean forces under Theodore II Lascaris defeat the Bulgarians.,Adrianople,
1255,Battle of Montebruno,23 February – Astigiani defeats Thomas II of Savoy.,Montebruno,
1255,Battle of Bryn Derwin,June – Llywelyn ap Gruffudd defeats his brother Owain ap Gruffudd and assumes control of Gwynedd,Bryn Derwin,
1257,Battle of Cadfan,Decisive victory for the Welsh against the English.,Cadfan,
1257,Creadran-Cille,Normans driven out of Lower Connacht by the Tír Chonaill Kingdom.,Creadran-Cille,
1258,Battle of Baghdad,"29 January – 10 February – Hulagu Khan of the Mongols defeats the Abbasid, taking the Caliph prisoner.",Baghdad,
1258,Battle of Karydi,"May/June – William II of Villehardouin Prince of Achaea, defeats a coalition of princes led by the Duke of Athens, Guy I de la Roche and ends the War of the Euboeote Succession.",Karydi,
1259,Battle of Pelagonia,"September – The Empire of Nicaea defeats Achaea, Epirus and Sicily.",Pelagonia,
1259,Battle of Cassano,27 September – Ezzelino III da Romano is defeated by the crusade army of the Guelphs.,Cassano,
1260,Battle of Durbe,"13 July – Teutonic Knights and its branch Livonian Order are defeated by Samogitians, what triggers the Great Prussian Insurrection.",Durbe,
1260,Battle of Kressenbrunn,July – Bohemian and Austrian forces under Premysl Ottokar II defeat Béla IV of Hungary.,Kressenbrunn,
1260,Battle of Ain Jalut,3 September – Egyptian Mamluk army defeats Mongols and Georgians north of Palestine.,Ain Jalut,
1260,Battle of Montaperti,4 September – Sienese defeat Florentines (Guelphs and Ghibellines).,Montaperti,
1260,Siege of Constantinople,Unsuccessful attack on the Constantinopolitan suburb of Galata by forces of the Empire of Nicaea.,Constantinople,
1261,Battle of Callann,Finghin Mac Carthy of the Kingdom of Desmond defeats Normans.,Callann,
1262,Battle of Terek river,Nogai Khan of Golden Horde defeats Hulagu. First open conflict in Mongol Empire.,Terek river,
1263,Battle of Largs,"Scots versus Norwegians, no definitive victory for either.",Largs,
1263,Battle of Prinitza,The forces of the Principality of Achaea defeat a far larger Byzantine army.,Prinitza,
1263,Battle of Settepozzi,A Venetian fleet of 38 ships defeates a joint Byzantine-Genoese fleet of 48 ships off the Peloponnese.,Settepozzi,
1264,Battle of Lewes,14 May – (Second Barons' War) English rebels under Simon de Montfort defeat Henry III of England.,Lewes,
1264,Battle of Makryplagi,"The forces of the Principality of Achaea defeat a Byzantine army, taking their commanders prisoner.",Makryplagi,
1265,Battle of Evesham,"4 August – (Second Barons' War) English under Prince Edward defeat rebels under Simon de Montfort, who is killed.",Evesham,
1266,Battle of Benevento,26 February – Charles of Anjou defeats Manfred of Sicily and conquers his kingdom (Guelphs and Ghibellines),Benevento,
1268,Battle of Rakvere,Russian victory over the Livonian Order.,Rakvere,
1268,Battle of Xiangyang,Decisive Yuan Mongol victory over the Song Dynasty. First war ever involving the usage of firearms,Xiangyang,
1268,Battle of Tagliacozzo,23 August – Charles of Anjou defeats Conradin (Guelphs and Ghibellines),Tagliacozzo,
1269,Battle of Colle Val d'Elsa,16 June – Guelph victory over Siena.,Colle Val d'Elsa,
1270,Battle of Karuse,Lithuanian victory over the Livonian Order.,Karuse,
1270,Ath an Chip,Normans heavily defeated by the Irish.,Ath an Chip,
1274,Battle of Bun'ei,20 November Mongols invade Kamakura Japan but are defeated and forced to retreat.,Bun'ei,
1275,Battle of Neopatras,Byzantine army besieging Neopatras is defeated by far smaller force from the Duchy of Athens,Neopatras,
1275,Battle of Demetrias,Byzantine fleet defeats coalition of Lombard and Venetian lords of Euboea and Crete.,Demetrias,
1275,Battle of Roccavione,12 December Charles I of Anjou's Neapolitan army is defeated by the Piedmontese league led by Asti.,Roccavione,
1277,Battle of Desio,A Visconti army under Ottone Visconti defeats the della Torre family troops.,Desio,
1278,Battle of Dürnkrut and Jedenspeigen,(also known as Battle on the Marchfeld) 26 August Rudolf of Habsburg defeats Ottakar II Przemy?l.,Dürnkrut and Jedenspeigen,
1279,Battle of Aizkraukle,5 March – Lithuanians defeat units of the Livonian Order.,Aizkraukle,
1279,Battle of Yamen,"19 March – Yuan Dynasty defeats Song Dynasty, young emperor Bing drowned.",Yamen,
1280,Siege of Berat,Defeat of besieging Angevin army after its commander is captured by the Byzantine relief force.,Berat,
1281,Battle of K?an,15 August – Typhoon wipes out the invading fleet of Kublai Khan in Japan.,K?an,
1281,Battle of Homs,29 October – Mamluks defeat Mongols of the Ilkhanate.,Homs,
1282,Battle of Orewin Bridge,11 December – Welsh troops decisively defeated by the English.,Orewin Bridge,
1288,Battle of Worringen,"5 June – Battle for duchy of Limburg. Brabant defeats the forces of Cologne, Luxembourg and Nassau.",Worringen,
1288,Battle of B?ch ??ng (1288),??i Vi?t defeated the invasion of Yuan dynasty.,B?ch ??ng ,
1289,Battle of Campaldino,Florence and allies defeat Arezzo.,Campaldino,
1291,Siege of Acre,Mameluks capture the last Crusader city.,Acre,
1295,Battle of Maes Moydog,"5 March – one of Edward I's armies defeats Welsh rebels, hastening the end of Madog ap Llywelyn's revolt.",Maes Moydog,
